年度,部名,室名,管理対象部署のコード番号,管理対象部署名,4月,5月,6月,7月,8月,9月,10月,11月,12月,1月,2月,3月
2016,環境部,クリーンセンター,307,不燃物埋立処分地,2799,2601,2853,2844,2667,2966,2533,2632,3546,3037,2744,3276
2016,環境部,クリーンセンター,308,緑のリサイクルセンター,361,329,304,368,401,337,357,442,437,440,438,495
2016,環境部,クリーンセンター,309,清荒神公衆便所,119,98,113,94,89,109,101,116,132,110,107,123
2016,環境部,クリーンセンター,310,中山観音駅前公衆便所,0,0,0,0,0,0,0,0,0,0,0,0
2016,環境部,クリーンセンター,311,武田尾公衆便所,275,256,239,249,249,266,247,265,297,245,237,272
2016,環境部,クリーンセンター,312,宝塚駅前公衆便所,318,259,278,230,237,283,296,327,400,343,337,381
2016,都市安全部,危機管理室,314,防犯カメラ,88.2,91.14,88.2,91.14,91.14,88.2,91.14,88.2,91.14,91.14,82.32,91.14
2016,都市安全部,建設室,318,末広中央公園,3226,4249,3923,4764,5634,5882,4925,4415,5168,6028,3981,2356
2016,産業文化部,宝のまち創造室,319,泉源池,1411,1717,1467,1658,1731,1371,1544,1522,1110,1476,1260,1200
2016,環境部,環境室,323,宝塚すみれ墓苑,2119,1725,1833,3370,4244,3352,3464,4050,6067,5710,5094,4138
